"trainer/global_step","cnn__medium__l1__True - _step","cnn__medium__l1__True - _step__MIN","cnn__medium__l1__True - _step__MAX","cnn__medium__l1__True - train_loss_step","cnn__medium__l1__True - train_loss_step__MIN","cnn__medium__l1__True - train_loss_step__MAX","cnn__large__l1__True - _step","cnn__large__l1__True - _step__MIN","cnn__large__l1__True - _step__MAX","cnn__large__l1__True - train_loss_step","cnn__large__l1__True - train_loss_step__MIN","cnn__large__l1__True - train_loss_step__MAX","cnn__small__l1__True - _step","cnn__small__l1__True - _step__MIN","cnn__small__l1__True - _step__MAX","cnn__small__l1__True - train_loss_step","cnn__small__l1__True - train_loss_step__MIN","cnn__small__l1__True - train_loss_step__MAX","cnn__expanded__l1__True - _step","cnn__expanded__l1__True - _step__MIN","cnn__expanded__l1__True - _step__MAX","cnn__expanded__l1__True - train_loss_step","cnn__expanded__l1__True - train_loss_step__MIN","cnn__expanded__l1__True - train_loss_step__MAX","cnn__lightweight__l1__True - _step","cnn__lightweight__l1__True - _step__MIN","cnn__lightweight__l1__True - _step__MAX","cnn__lightweight__l1__True - train_loss_step","cnn__lightweight__l1__True - train_loss_step__MIN","cnn__lightweight__l1__True - train_loss_step__MAX"
"4199","42","42","42","0.0147552490234375","0.01464080810546875","0.01486968994140625","42","42","42","0.00921630859375","0.00921630859375","0.00921630859375","42","42","42","0.013034820556640625","0.0118255615234375","0.01424407958984375","42","42","42","0.010589599609375","0.010589599609375","0.010589599609375","42","42","42","0.019107818603515625","0.01340484619140625","0.024810791015625"
"4299","43","43","43","0.014476776123046875","0.01300811767578125","0.0159454345703125","43","43","43","0.00872802734375","0.00872802734375","0.00872802734375","43","43","43","0.01613616943359375","0.01580810546875","0.0164642333984375","43","43","43","0.01139068603515625","0.01139068603515625","0.01139068603515625","43","43","43","0.0185699462890625","0.0164337158203125","0.0207061767578125"
"4399","44","44","44","0.01934051513671875","0.0176544189453125","0.021026611328125","44","44","44","0.01142120361328125","0.01142120361328125","0.01142120361328125","44","44","44","0.01795196533203125","0.0160980224609375","0.019805908203125","44","44","44","0.01302337646484375","0.01302337646484375","0.01302337646484375","44","44","44","0.02048492431640625","0.017333984375","0.0236358642578125"
"4499","45","45","45","0.01035308837890625","0.0101318359375","0.0105743408203125","45","45","45","0.01160430908203125","0.01160430908203125","0.01160430908203125","45","45","45","0.01975250244140625","0.01611328125","0.0233917236328125","45","45","45","0.0085906982421875","0.0085906982421875","0.0085906982421875","45","45","45","0.0139617919921875","0.01322174072265625","0.01470184326171875"
"4599","46","46","46","0.01807403564453125","0.0176849365234375","0.018463134765625","46","46","46","0.013458251953125","0.013458251953125","0.013458251953125","46","46","46","0.013103485107421875","0.0128173828125","0.01338958740234375","46","46","46","0.01074981689453125","0.01074981689453125","0.01074981689453125","46","46","46","0.01732635498046875","0.0167083740234375","0.0179443359375"
"4699","48","48","48","0.01375579833984375","0.0104522705078125","0.017059326171875","48","48","48","0.010955810546875","0.010955810546875","0.010955810546875","48","48","48","0.015857696533203125","0.01158905029296875","0.0201263427734375","48","48","48","0.01291656494140625","0.01291656494140625","0.01291656494140625","48","48","48","0.01715087890625","0.01678466796875","0.01751708984375"
"4799","49","49","49","0.01337432861328125","0.008544921875","0.0182037353515625","49","49","49","0.00809478759765625","0.00809478759765625","0.00809478759765625","49","49","49","0.0146026611328125","0.0130767822265625","0.0161285400390625","49","49","49","0.009063720703125","0.009063720703125","0.009063720703125","49","49","49","0.01674652099609375","0.0162353515625","0.0172576904296875"
"4899","50","50","50","0.014247894287109375","0.01397705078125","0.01451873779296875","50","50","50","0.010406494140625","0.010406494140625","0.010406494140625","50","50","50","0.0170440673828125","0.0154571533203125","0.0186309814453125","50","50","50","0.0091705322265625","0.0091705322265625","0.0091705322265625","50","50","50","0.02216339111328125","0.0210418701171875","0.023284912109375"
"4999","51","51","51","0.015064239501953125","0.01407623291015625","0.01605224609375","51","51","51","0.00873565673828125","0.00873565673828125","0.00873565673828125","51","51","51","0.0171051025390625","0.0166473388671875","0.0175628662109375","51","51","51","0.00965118408203125","0.00965118408203125","0.00965118408203125","51","51","51","0.01805877685546875","0.0170440673828125","0.019073486328125"
"5099","52","52","52","0.01210784912109375","0.0079345703125","0.0162811279296875","52","52","52","0.011016845703125","0.011016845703125","0.011016845703125","52","52","52","0.0159759521484375","0.0120391845703125","0.0199127197265625","52","52","52","0.0095367431640625","0.0095367431640625","0.0095367431640625","52","52","52","0.018096923828125","0.016693115234375","0.019500732421875"
"5199","53","53","53","0.01180267333984375","0.0112152099609375","0.01239013671875","53","53","53","0.00988006591796875","0.00988006591796875","0.00988006591796875","53","53","53","0.013744354248046875","0.013397216796875","0.01409149169921875","53","53","53","0.01506805419921875","0.01506805419921875","0.01506805419921875","53","53","53","0.016315460205078125","0.01149749755859375","0.0211334228515625"
"5299","54","54","54","0.01251983642578125","0.012115478515625","0.0129241943359375","54","54","54","0.011260986328125","0.011260986328125","0.011260986328125","54","54","54","0.013950347900390625","0.0129547119140625","0.01494598388671875","54","54","54","0.00919342041015625","0.00919342041015625","0.00919342041015625","54","54","54","0.01676177978515625","0.014495849609375","0.0190277099609375"
